name,description,stars,forks,subscribers_now,created_at,n_releases_last60days,n_vunerabilities_1y,index_value
Wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,13195,1947,225,2015-08-11,6,5,58.39959824635152
MISP,MISP (core software) - Open Source Threat Intelligence and Sharing Platform,5875,1495,282,2013-02-07,3,8,52.7450464426342
OpenCTI,Open Cyber Threat Intelligence Platform,7673,1114,148,2018-12-17,13,7,43.0764619124857
TheHive,"TheHive: a Scalable, Open Source and Free Security Incident Response Platform",3800,667,172,2016-11-03,0,4,43.58968908700753
OpenVAS,This repository contains the scanner component for Greenbone Community Edition.,4015,704,90,2018-01-22,7,0,56.38668150031786
Velociraptor,Digging Deeper....,3402,545,73,2018-03-24,1,3,52.16672482640901
Gophish,Open-Source Phishing Toolkit,13007,2688,344,2013-11-18,0,1,51.11646216714202
Flow,Repository containing source code of MixewayFlow service that is Swiss army knife for DevSecOps Teams,52,4,1,2024-08-09,0,26,38.18181818181818
Elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",73640,25396,2656,2010-02-08,12,6,66.90162433901108
Artemis,A modular vulnerability scanner with automatic report generation capabilities.,922,80,21,2022-11-28,0,4,40.525101763907735
